Shortcut,Action,Application,OS,Category,Description,Frequency
Ctrl+Z,Undo,Google Docs,Windows/macOS/Linux,Office,Undo action in Google Docs,High
Ctrl+Y,Redo,Google Docs,Windows/macOS/Linux,Office,Redo action in Google Docs,High
Ctrl+S,Save,Google Docs,Windows/macOS/Linux,Office,Save action in Google Docs,High
Ctrl+O,Open,Google Docs,Windows/macOS/Linux,Office,Open action in Google Docs,High
Ctrl+N,New,Google Docs,Windows/macOS/Linux,Office,New action in Google Docs,High
Ctrl+P,Print,Google Docs,Windows/macOS/Linux,Office,Print action in Google Docs,High
Ctrl+F,Find,Google Docs,Windows/macOS/Linux,Office,Find action in Google Docs,High
Ctrl+H,Replace,Google Docs,Windows/macOS/Linux,Office,Replace action in Google Docs,High
Ctrl+A,Select All,Google Docs,Windows/macOS/Linux,Office,Select All action in Google Docs,High
Ctrl+B,Bold,Google Docs,Windows/macOS/Linux,Office,Bold action in Google Docs,High
Ctrl+I,Italic,Google Docs,Windows/macOS/Linux,Office,Italic action in Google Docs,High
Ctrl+U,Underline,Google Docs,Windows/macOS/Linux,Office,Underline action in Google Docs,High
Ctrl+T,New Tab,Google Docs,Windows/macOS/Linux,Office,New Tab action in Google Docs,High
Ctrl+W,Close Tab,Google Docs,Windows/macOS/Linux,Office,Close Tab action in Google Docs,High
Ctrl+Shift+P,Command Palette,Google Docs,Windows/macOS/Linux,Office,Command Palette action in Google Docs,High
Alt+Tab,Switch Window,Google Docs,Windows/macOS/Linux,Office,Switch Window action in Google Docs,High
Ctrl+Tab,Next Tab,Google Docs,Windows/macOS/Linux,Office,Next Tab action in Google Docs,High
F1,Help,Google Docs,Windows/macOS/Linux,Office,Help action in Google Docs,High
F2,Rename,Google Docs,Windows/macOS/Linux,Office,Rename action in Google Docs,High
F5,Refresh,Google Docs,Windows/macOS/Linux,Office,Refresh action in Google Docs,High
Ctrl+L,Focus Address Bar,Google Docs,Windows/macOS/Linux,Office,Focus Address Bar action in Google Docs,High
Ctrl+D,Bookmark,Google Docs,Windows/macOS/Linux,Office,Bookmark action in Google Docs,High
Ctrl+C,Copy,Google Sheets,Windows/macOS/Linux,Office,Copy action in Google Sheets,High
Ctrl+V,Paste,Google Sheets,Windows/macOS/Linux,Office,Paste action in Google Sheets,High
Ctrl+X,Cut,Google Sheets,Windows/macOS/Linux,Office,Cut action in Google Sheets,High
Ctrl+Z,Undo,Google Sheets,Windows/macOS/Linux,Office,Undo action in Google Sheets,High
Ctrl+Y,Redo,Google Sheets,Windows/macOS/Linux,Office,Redo action in Google Sheets,High
Ctrl+S,Save,Google Sheets,Windows/macOS/Linux,Office,Save action in Google Sheets,High
Ctrl+O,Open,Google Sheets,Windows/macOS/Linux,Office,Open action in Google Sheets,High
Ctrl+N,New,Google Sheets,Windows/macOS/Linux,Office,New action in Google Sheets,High
Ctrl+P,Print,Google Sheets,Windows/macOS/Linux,Office,Print action in Google Sheets,High
Ctrl+F,Find,Google Sheets,Windows/macOS/Linux,Office,Find action in Google Sheets,High
Ctrl+H,Replace,Google Sheets,Windows/macOS/Linux,Office,Replace action in Google Sheets,High
Ctrl+A,Select All,Google Sheets,Windows/macOS/Linux,Office,Select All action in Google Sheets,High
Ctrl+B,Bold,Google Sheets,Windows/macOS/Linux,Office,Bold action in Google Sheets,High
Ctrl+I,Italic,Google Sheets,Windows/macOS/Linux,Office,Italic action in Google Sheets,High
Ctrl+U,Underline,Google Sheets,Windows/macOS/Linux,Office,Underline action in Google Sheets,High
Ctrl+T,New Tab,Google Sheets,Windows/macOS/Linux,Office,New Tab action in Google Sheets,High
Ctrl+W,Close Tab,Google Sheets,Windows/macOS/Linux,Office,Close Tab action in Google Sheets,High
Ctrl+Shift+P,Command Palette,Google Sheets,Windows/macOS/Linux,Office,Command Palette action in Google Sheets,High
Alt+Tab,Switch Window,Google Sheets,Windows/macOS/Linux,Office,Switch Window action in Google Sheets,High
Ctrl+Tab,Next Tab,Google Sheets,Windows/macOS/Linux,Office,Next Tab action in Google Sheets,High
F1,Help,Google Sheets,Windows/macOS/Linux,Office,Help action in Google Sheets,High
F2,Rename,Google Sheets,Windows/macOS/Linux,Office,Rename action in Google Sheets,High
F5,Refresh,Google Sheets,Windows/macOS/Linux,Office,Refresh action in Google Sheets,High
Ctrl+L,Focus Address Bar,Google Sheets,Windows/macOS/Linux,Office,Focus Address Bar action in Google Sheets,High
Ctrl+D,Bookmark,Google Sheets,Windows/macOS/Linux,Office,Bookmark action in Google Sheets,High
Ctrl+C,Copy,Photoshop,Windows/macOS/Linux,Design,Copy action in Photoshop,High
Ctrl+V,Paste,Photoshop,Windows/macOS/Linux,Design,Paste action in Photoshop,High
Ctrl+X,Cut,Photoshop,Windows/macOS/Linux,Design,Cut action in Photoshop,High
Ctrl+Z,Undo,Photoshop,Windows/macOS/Linux,Design,Undo action in Photoshop,High
Ctrl+Y,Redo,Photoshop,Windows/macOS/Linux,Design,Redo action in Photoshop,High
Ctrl+S,Save,Photoshop,Windows/macOS/Linux,Design,Save action in Photoshop,High
Ctrl+O,Open,Photoshop,Windows/macOS/Linux,Design,Open action in Photoshop,High
Ctrl+N,New,Photoshop,Windows/macOS/Linux,Design,New action in Photoshop,High
Ctrl+P,Print,Photoshop,Windows/macOS/Linux,Design,Print action in Photoshop,High
Ctrl+F,Find,Photoshop,Windows/macOS/Linux,Design,Find action in Photoshop,High
Ctrl+H,Replace,Photoshop,Windows/macOS/Linux,Design,Replace action in Photoshop,High
Ctrl+A,Select All,Photoshop,Windows/macOS/Linux,Design,Select All action in Photoshop,High
Ctrl+B,Bold,Photoshop,Windows/macOS/Linux,Design,Bold action in Photoshop,High
Ctrl+I,Italic,Photoshop,Windows/macOS/Linux,Design,Italic action in Photoshop,High
Ctrl+U,Underline,Photoshop,Windows/macOS/Linux,Design,Underline action in Photoshop,High
Ctrl+T,New Tab,Photoshop,Windows/macOS/Linux,Design,New Tab action in Photoshop,High
Ctrl+W,Close Tab,Photoshop,Windows/macOS/Linux,Design,Close Tab action in Photoshop,High
Ctrl+Shift+P,Command Palette,Photoshop,Windows/macOS/Linux,Design,Command Palette action in Photoshop,High
Alt+Tab,Switch Window,Photoshop,Windows/macOS/Linux,Design,Switch Window action in Photoshop,High
Ctrl+Tab,Next Tab,Photoshop,Windows/macOS/Linux,Design,Next Tab action in Photoshop,High
F1,Help,Photoshop,Windows/macOS/Linux,Design,Help action in Photoshop,High
F2,Rename,Photoshop,Windows/macOS/Linux,Design,Rename action in Photoshop,High
F5,Refresh,Photoshop,Windows/macOS/Linux,Design,Refresh action in Photoshop,High
Ctrl+L,Focus Address Bar,Photoshop,Windows/macOS/Linux,Design,Focus Address Bar action in Photoshop,High
Ctrl+D,Bookmark,Photoshop,Windows/macOS/Linux,Design,Bookmark action in Photoshop,High
Ctrl+C,Copy,Figma,Windows/macOS/Linux,Design,Copy action in Figma,High
Ctrl+V,Paste,Figma,Windows/macOS/Linux,Design,Paste action in Figma,High
Ctrl+X,Cut,Figma,Windows/macOS/Linux,Design,Cut action in Figma,High
Ctrl+Z,Undo,Figma,Windows/macOS/Linux,Design,Undo action in Figma,High
Ctrl+Y,Redo,Figma,Windows/macOS/Linux,Design,Redo action in Figma,High
Ctrl+S,Save,Figma,Windows/macOS/Linux,Design,Save action in Figma,High
Ctrl+O,Open,Figma,Windows/macOS/Linux,Design,Open action in Figma,High
Ctrl+N,New,Figma,Windows/macOS/Linux,Design,New action in Figma,High
Ctrl+P,Print,Figma,Windows/macOS/Linux,Design,Print action in Figma,High
Ctrl+F,Find,Figma,Windows/macOS/Linux,Design,Find action in Figma,High
Ctrl+H,Replace,Figma,Windows/macOS/Linux,Design,Replace action in Figma,High
Ctrl+A,Select All,Figma,Windows/macOS/Linux,Design,Select All action in Figma,High
Ctrl+B,Bold,Figma,Windows/macOS/Linux,Design,Bold action in Figma,High
Ctrl+I,Italic,Figma,Windows/macOS/Linux,Design,Italic action in Figma,High
Ctrl+U,Underline,Figma,Windows/macOS/Linux,Design,Underline action in Figma,High
Ctrl+T,New Tab,Figma,Windows/macOS/Linux,Design,New Tab action in Figma,High
Ctrl+W,Close Tab,Figma,Windows/macOS/Linux,Design,Close Tab action in Figma,High
Ctrl+Shift+P,Command Palette,Figma,Windows/macOS/Linux,Design,Command Palette action in Figma,High
Alt+Tab,Switch Window,Figma,Windows/macOS/Linux,Design,Switch Window action in Figma,High
Ctrl+Tab,Next Tab,Figma,Windows/macOS/Linux,Design,Next Tab action in Figma,High
F1,Help,Figma,Windows/macOS/Linux,Design,Help action in Figma,High
F2,Rename,Figma,Windows/macOS/Linux,Design,Rename action in Figma,High
F5,Refresh,Figma,Windows/macOS/Linux,Design,Refresh action in Figma,High
Ctrl+L,Focus Address Bar,Figma,Windows/macOS/Linux,Design,Focus Address Bar action in Figma,High
Ctrl+D,Bookmark,Figma,Windows/macOS/Linux,Design,Bookmark action in Figma,High
Ctrl+C,Copy,Blender,Windows/macOS/Linux,3D,Copy action in Blender,High
Ctrl+V,Paste,Blender,Windows/macOS/Linux,3D,Paste action in Blender,High
Ctrl+X,Cut,Blender,Windows/macOS/Linux,3D,Cut action in Blender,High
Ctrl+Z,Undo,Blender,Windows/macOS/Linux,3D,Undo action in Blender,High
Ctrl+Y,Redo,Blender,Windows/macOS/Linux,3D,Redo action in Blender,High
Ctrl+S,Save,Blender,Windows/macOS/Linux,3D,Save action in Blender,High
Ctrl+O,Open,Blender,Windows/macOS/Linux,3D,Open action in Blender,High
Ctrl+N,New,Blender,Windows/macOS/Linux,3D,New action in Blender,High
Ctrl+P,Print,Blender,Windows/macOS/Linux,3D,Print action in Blender,High
Ctrl+F,Find,Blender,Windows/macOS/Linux,3D,Find action in Blender,High
Ctrl+H,Replace,Blender,Windows/macOS/Linux,3D,Replace action in Blender,High
Ctrl+A,Select All,Blender,Windows/macOS/Linux,3D,Select All action in Blender,High
Ctrl+B,Bold,Blender,Windows/macOS/Linux,3D,Bold action in Blender,High
Ctrl+I,Italic,Blender,Windows/macOS/Linux,3D,Italic action in Blender,High
Ctrl+U,Underline,Blender,Windows/macOS/Linux,3D,Underline action in Blender,High
Ctrl+T,New Tab,Blender,Windows/macOS/Linux,3D,New Tab action in Blender,High
Ctrl+W,Close Tab,Blender,Windows/macOS/Linux,3D,Close Tab action in Blender,High
Ctrl+Shift+P,Command Palette,Blender,Windows/macOS/Linux,3D,Command Palette action in Blender,High
Alt+Tab,Switch Window,Blender,Windows/macOS/Linux,3D,Switch Window action in Blender,High
Ctrl+Tab,Next Tab,Blender,Windows/macOS/Linux,3D,Next Tab action in Blender,High
F1,Help,Blender,Windows/macOS/Linux,3D,Help action in Blender,High
F2,Rename,Blender,Windows/macOS/Linux,3D,Rename action in Blender,High
F5,Refresh,Blender,Windows/macOS/Linux,3D,Refresh action in Blender,High
Ctrl+L,Focus Address Bar,Blender,Windows/macOS/Linux,3D,Focus Address Bar action in Blender,High
Ctrl+D,Bookmark,Blender,Windows/macOS/Linux,3D,Bookmark action in Blender,High
Ctrl+C,Copy,Git,Windows/macOS/Linux,Developer,Copy action in Git,High
Ctrl+V,Paste,Git,Windows/macOS/Linux,Developer,Paste action in Git,High
Ctrl+X,Cut,Git,Windows/macOS/Linux,Developer,Cut action in Git,High
Ctrl+Z,Undo,Git,Windows/macOS/Linux,Developer,Undo action in Git,High
Ctrl+Y,Redo,Git,Windows/macOS/Linux,Developer,Redo action in Git,High
Ctrl+S,Save,Git,Windows/macOS/Linux,Developer,Save action in Git,High
Ctrl+O,Open,Git,Windows/macOS/Linux,Developer,Open action in Git,High
Ctrl+N,New,Git,Windows/macOS/Linux,Developer,New action in Git,High
Ctrl+P,Print,Git,Windows/macOS/Linux,Developer,Print action in Git,High
Ctrl+F,Find,Git,Windows/macOS/Linux,Developer,Find action in Git,High
Ctrl+H,Replace,Git,Windows/macOS/Linux,Developer,Replace action in Git,High
Ctrl+A,Select All,Git,Windows/macOS/Linux,Developer,Select All action in Git,High
Ctrl+B,Bold,Git,Windows/macOS/Linux,Developer,Bold action in Git,High
Ctrl+I,Italic,Git,Windows/macOS/Linux,Developer,Italic action in Git,High
Ctrl+U,Underline,Git,Windows/macOS/Linux,Developer,Underline action in Git,High
Ctrl+T,New Tab,Git,Windows/macOS/Linux,Developer,New Tab action in Git,High
Ctrl+W,Close Tab,Git,Windows/macOS/Linux,Developer,Close Tab action in Git,High
Ctrl+Shift+P,Command Palette,Git,Windows/macOS/Linux,Developer,Command Palette action in Git,High
Alt+Tab,Switch Window,Git,Windows/macOS/Linux,Developer,Switch Window action in Git,High
Ctrl+Tab,Next Tab,Git,Windows/macOS/Linux,Developer,Next Tab action in Git,High
F1,Help,Git,Windows/macOS/Linux,Developer,Help action in Git,High
F2,Rename,Git,Windows/macOS/Linux,Developer,Rename action in Git,High
F5,Refresh,Git,Windows/macOS/Linux,Developer,Refresh action in Git,High
Ctrl+L,Focus Address Bar,Git,Windows/macOS/Linux,Developer,Focus Address Bar action in Git,High
Ctrl+D,Bookmark,Git,Windows/macOS/Linux,Developer,Bookmark action in Git,High
Ctrl+C,Copy,Bash,Windows/macOS/Linux,Terminal,Copy action in Bash,High
Ctrl+V,Paste,Bash,Windows/macOS/Linux,Terminal,Paste action in Bash,High
Ctrl+X,Cut,Bash,Windows/macOS/Linux,Terminal,Cut action in Bash,High
Ctrl+Z,Undo,Bash,Windows/macOS/Linux,Terminal,Undo action in Bash,High
Ctrl+Y,Redo,Bash,Windows/macOS/Linux,Terminal,Redo action in Bash,High
Ctrl+S,Save,Bash,Windows/macOS/Linux,Terminal,Save action in Bash,High
Ctrl+O,Open,Bash,Windows/macOS/Linux,Terminal,Open action in Bash,High
Ctrl+N,New,Bash,Windows/macOS/Linux,Terminal,New action in Bash,High
Ctrl+P,Print,Bash,Windows/macOS/Linux,Terminal,Print action in Bash,High
Ctrl+F,Find,Bash,Windows/macOS/Linux,Terminal,Find action in Bash,High
Ctrl+H,Replace,Bash,Windows/macOS/Linux,Terminal,Replace action in Bash,High
Ctrl+A,Select All,Bash,Windows/macOS/Linux,Terminal,Select All action in Bash,High
Ctrl+B,Bold,Bash,Windows/macOS/Linux,Terminal,Bold action in Bash,High
Ctrl+I,Italic,Bash,Windows/macOS/Linux,Terminal,Italic action in Bash,High
Ctrl+U,Underline,Bash,Windows/macOS/Linux,Terminal,Underline action in Bash,High
Ctrl+T,New Tab,Bash,Windows/macOS/Linux,Terminal,New Tab action in Bash,High
Ctrl+W,Close Tab,Bash,Windows/macOS/Linux,Terminal,Close Tab action in Bash,High
Ctrl+Shift+P,Command Palette,Bash,Windows/macOS/Linux,Terminal,Command Palette action in Bash,High
Alt+Tab,Switch Window,Bash,Windows/macOS/Linux,Terminal,Switch Window action in Bash,High
Ctrl+Tab,Next Tab,Bash,Windows/macOS/Linux,Terminal,Next Tab action in Bash,High
F1,Help,Bash,Windows/macOS/Linux,Terminal,Help action in Bash,High
F2,Rename,Bash,Windows/macOS/Linux,Terminal,Rename action in Bash,High
F5,Refresh,Bash,Windows/macOS/Linux,Terminal,Refresh action in Bash,High
Ctrl+L,Focus Address Bar,Bash,Windows/macOS/Linux,Terminal,Focus Address Bar action in Bash,High
Ctrl+D,Bookmark,Bash,Windows/macOS/Linux,Terminal,Bookmark action in Bash,High
Ctrl+C,Copy,PowerShell,Windows/macOS/Linux,Terminal,Copy action in PowerShell,High
Ctrl+V,Paste,PowerShell,Windows/macOS/Linux,Terminal,Paste action in PowerShell,High
Ctrl+X,Cut,PowerShell,Windows/macOS/Linux,Terminal,Cut action in PowerShell,High
Ctrl+Z,Undo,PowerShell,Windows/macOS/Linux,Terminal,Undo action in PowerShell,High
Ctrl+Y,Redo,PowerShell,Windows/macOS/Linux,Terminal,Redo action in PowerShell,High
Ctrl+S,Save,PowerShell,Windows/macOS/Linux,Terminal,Save action in PowerShell,High
Ctrl+O,Open,PowerShell,Windows/macOS/Linux,Terminal,Open action in PowerShell,High
Ctrl+N,New,PowerShell,Windows/macOS/Linux,Terminal,New action in PowerShell,High
Ctrl+P,Print,PowerShell,Windows/macOS/Linux,Terminal,Print action in PowerShell,High
Ctrl+F,Find,PowerShell,Windows/macOS/Linux,Terminal,Find action in PowerShell,High
Ctrl+H,Replace,PowerShell,Windows/macOS/Linux,Terminal,Replace action in PowerShell,High
Ctrl+A,Select All,PowerShell,Windows/macOS/Linux,Terminal,Select All action in PowerShell,High
Ctrl+B,Bold,PowerShell,Windows/macOS/Linux,Terminal,Bold action in PowerShell,High
Ctrl+I,Italic,PowerShell,Windows/macOS/Linux,Terminal,Italic action in PowerShell,High
Ctrl+U,Underline,PowerShell,Windows/macOS/Linux,Terminal,Underline action in PowerShell,High
Ctrl+T,New Tab,PowerShell,Windows/macOS/Linux,Terminal,New Tab action in PowerShell,High
Ctrl+W,Close Tab,PowerShell,Windows/macOS/Linux,Terminal,Close Tab action in PowerShell,High
Ctrl+Shift+P,Command Palette,PowerShell,Windows/macOS/Linux,Terminal,Command Palette action in PowerShell,High
Alt+Tab,Switch Window,PowerShell,Windows/macOS/Linux,Terminal,Switch Window action in PowerShell,High
Ctrl+Tab,Next Tab,PowerShell,Windows/macOS/Linux,Terminal,Next Tab action in PowerShell,High
F1,Help,PowerShell,Windows/macOS/Linux,Terminal,Help action in PowerShell,High
F2,Rename,PowerShell,Windows/macOS/Linux,Terminal,Rename action in PowerShell,High
F5,Refresh,PowerShell,Windows/macOS/Linux,Terminal,Refresh action in PowerShell,High
Ctrl+L,Focus Address Bar,PowerShell,Windows/macOS/Linux,Terminal,Focus Address Bar action in PowerShell,High
Ctrl+D,Bookmark,PowerShell,Windows/macOS/Linux,Terminal,Bookmark action in PowerShell,High
Ctrl+A,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+B,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+C,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+D,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+E,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+F,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+G,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+H,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+I,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+J,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+K,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+L,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+M,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+N,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+O,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+P,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+Q,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+R,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+S,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+T,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+U,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+V,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+W,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+X,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+Y,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+Z,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+F1,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+F2,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+F3,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+F4,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+F5,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+F6,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+F7,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
Ctrl+F8,Application Shortcut,Windows,Cross Platform,Generated Index,Potential shortcut mapping for Windows,Medium
